period,programme,scheme,scheme_description,basis,nationality_code,nationality,recipients
2014Q1,Children,CB,Child Benefit,Social Assistance,00,All,623739
2014Q1,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,516325
2014Q1,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,22368
2014Q1,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),8124
2014Q1,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),57680
2014Q1,Children,CB,Child Benefit,Social Assistance,06,Other nationals,19242
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,00,All,48327
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,01,Irish nationals,35052
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,03,United Kingdom,1694
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),510
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),9731
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,06,Other nationals,1340
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,58953
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,54784
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,2501
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),182
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),911
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,575
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,1697
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,1541
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,51
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),11
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),73
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,21
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,102450
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,90460
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2761
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),829
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),7485
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,915
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,109030
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,100953
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,4504
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),450
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2180
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,943
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,54541
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,52859
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1105
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),135
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),365
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,77
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,334307
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,325511
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,6480
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1088
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),160
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,1068
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,97285
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,91838
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,4175
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),356
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),378
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,538
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,119168
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,115518
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,2259
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),355
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),562
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,474
2014Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,37874
2014Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,33540
